BBLLADNB_00001	K01868	threonyl-tRNA synthetase [EC:6.1.1.3] 
BBLLADNB_01467	K09158	uncharacterized protein  
BBLLADNB_01468	K00824	D-alanine transaminase [EC:2.6.1.21] 
BBLLADNB_01469	K07258	serine-type D-Ala-D-Ala carboxypeptidase (penicillin-binding
BBLLADNB_01471	K03642	rare lipoprotein A 
BBLLADNB_01472	K05837	rod shape determining protein
BBLLADNB_01473	K05515	penicillin-binding protein 2 [EC:3.4.16.4]
BBLLADNB_01474	K03571	rod shape-determining protein MreD
BBLLADNB_01475	K03570	rod shape-determining protein MreC
BBLLADNB_01476	K03569	rod shape-determining protein MreB
BBLLADNB_01477	K02033	peptide/nickel transport system permease
BBLLADNB_01479	K00208	enoyl-[acyl-carrier protein] reductase I
BBLLADNB_01484	K00033	6-phosphogluconate dehydrogenase [EC:1.1.1.44 1.1.1.343]
BBLLADNB_01485	K01057	6-phosphogluconolactonase [EC:3.1.1.31]  
BBLLADNB_01486	K00036	glucose-6-phosphate 1-dehydrogenase [EC:1.1.1.49 1.1.1.363]
BBLLADNB_01491	K01069	hydroxyacylglutathione hydrolase [EC:3.1.2.6] 
BBLLADNB_01492	K00382	dihydrolipoamide dehydrogenase [EC:1.8.1.4] 
BBLLADNB_01496	K07090	uncharacterized protein  
BBLLADNB_01499	K03657	DNA helicase II /
BBLLADNB_01500	K03192	urease accessory protein 
BBLLADNB_01504	K02111	F-type H+/Na+-transporting ATPase subunit
BBLLADNB_01505	K02109	F-type H+-transporting ATPase subunit
BBLLADNB_01505	K02113	F-type H+-transporting ATPase subunit
BBLLADNB_01506	K02110	F-type H+-transporting ATPase subunit
BBLLADNB_01507	K02108	F-type H+-transporting ATPase subunit
BBLLADNB_01510	K02112	F-type H+/Na+-transporting ATPase subunit
BBLLADNB_01514	K06044	(1->4)-alpha-D-glucan 1-alpha-D-glucosylmutase [EC:5.4.99.15] 
BBLLADNB_01514	K00705	4-alpha-glucanotransferase [EC:2.4.1.25]  
BBLLADNB_01515	K01236	maltooligosyltrehalose trehalohydrolase [EC:3.2.1.141] 
BBLLADNB_01516	K01214	isoamylase [EC:3.2.1.68]  
BBLLADNB_01517	K00975	glucose-1-phosphate adenylyltransferase [EC:2.7.7.27] 
BBLLADNB_01518	K05343	maltose alpha-D-glucosyltransferase / alpha-amylase
BBLLADNB_01519	K00700	1,4-alpha-glucan branching enzyme [EC:2.4.1.18]
BBLLADNB_01520	K22044	moderate conductance mechanosensitive channel
BBLLADNB_01522	K15634	probable phosphoglycerate mutase [EC:5.4.2.12]
BBLLADNB_01526	K01476	arginase [EC:3.5.3.1]  
BBLLADNB_01530	K07089	uncharacterized protein  
BBLLADNB_01533	K01993	HlyD family secretion protein
BBLLADNB_01534	K01990	ABC-2 type transport system
BBLLADNB_01534	K10822	nonpolar-amino-acid-transporting ATPase [EC:7.4.2.2] 
BBLLADNB_01535	K01992	ABC-2 type transport system
BBLLADNB_01536	K01992	ABC-2 type transport system
BBLLADNB_01540	K03325	arsenite transporter  
BBLLADNB_01543	K00134	glyceraldehyde 3-phosphate dehydrogenase [EC:1.2.1.12]
BBLLADNB_01547	K07474	phage terminase small subunit
BBLLADNB_01549	K07481	transposase, IS5 family 
BBLLADNB_01550	K07481	transposase, IS5 family 
BBLLADNB_01554	K19131	CRISPR-associated protein Csb1 
BBLLADNB_01555	K19132	CRISPR-associated protein Csb2 
BBLLADNB_01556	K07012	CRISPR-associated endonuclease/helicase Cas3 [EC:3.1.-.-
BBLLADNB_01561	K00832	aromatic-amino-acid transaminase [EC:2.6.1.57] 
BBLLADNB_01564	K00615	transketolase [EC:2.2.1.1]  
BBLLADNB_01566	K01601	ribulose-bisphosphate carboxylase large chain
BBLLADNB_01567	K04748	nitric oxide reductase NorQ
BBLLADNB_01568	K02448	nitric oxide reductase NorD
BBLLADNB_01572	K00034	glucose 1-dehydrogenase [EC:1.1.1.47] 
BBLLADNB_01572	K00059	3-oxoacyl-[acyl-carrier protein] reductase [EC:1.1.1.100]
BBLLADNB_01573	K00425	cytochrome bd ubiquinol oxidase
BBLLADNB_01574	K00426	cytochrome bd ubiquinol oxidase
BBLLADNB_01575	K23541	Ca2+/H+ antiporter, TMEM165/GDT1 family
BBLLADNB_01583	K04065	hyperosmotically inducible periplasmic protein
BBLLADNB_01585	K13688	cyclic beta-1,2-glucan synthetase [EC:2.4.1.-]
BBLLADNB_01589	K02030	polar amino acid transport
BBLLADNB_01594	K03192	urease accessory protein 
BBLLADNB_01597	K08744	cardiolipin synthase (CMP-forming) [EC:2.7.8.41]
BBLLADNB_01597	K00995	CDP-diacylglycerol---glycerol-3-phosphate 3-phosphatidyltransferase [EC:2.7.8.5] 
BBLLADNB_01598	K03703	excinuclease ABC subunit C
BBLLADNB_01600	K02356	elongation factor P 
BBLLADNB_01601	K01207	beta-N-acetylhexosaminidase [EC:3.2.1.52]  
BBLLADNB_01602	K00997	holo-[acyl-carrier protein] synthase [EC:2.7.8.7]
BBLLADNB_01603	K03474	pyridoxine 5-phosphate synthase [EC:2.6.99.2]
BBLLADNB_01604	K03584	DNA repair protein RecO
BBLLADNB_01605	K03595	GTPase   
BBLLADNB_01606	K03685	ribonuclease III [EC:3.1.26.3] 
BBLLADNB_01608	K03100	signal peptidase I [EC:3.4.21.89]
BBLLADNB_01609	K03596	GTP-binding protein LepA 
BBLLADNB_01611	K15270	S-adenosylmethionine uptake transporter 
BBLLADNB_01617	K01990	ABC-2 type transport system
BBLLADNB_01622	K01091	phosphoglycolate phosphatase [EC:3.1.3.18] 
BBLLADNB_01623	K06959	protein Tex  
BBLLADNB_01625	K06131	cardiolipin synthase A/B [EC:2.7.8.-]
BBLLADNB_01626	K05595	multiple antibiotic resistance protein
BBLLADNB_01629	K06077	outer membrane lipoprotein SlyB
BBLLADNB_01633	K07001	NTE family protein 
BBLLADNB_01636	K08997	uncharacterized protein  
BBLLADNB_01638	K01674	carbonic anhydrase [EC:4.2.1.1] 
BBLLADNB_01640	K03643	LPS-assembly lipoprotein  
BBLLADNB_01641	K02340	DNA polymerase III subunit
BBLLADNB_01643	K00147	glutamate-5-semialdehyde dehydrogenase [EC:1.2.1.41] 
BBLLADNB_01646	K04763	integrase/recombinase XerD  
BBLLADNB_01649	K02226	alpha-ribazole phosphatase [EC:3.1.3.73] 
BBLLADNB_01650	K02233	adenosylcobinamide-GDP ribazoletransferase [EC:2.7.8.26] 
BBLLADNB_01653	K07749	formyl-CoA transferase [EC:2.8.3.16] 
BBLLADNB_01655	K03551	holliday junction DNA helicase
BBLLADNB_01656	K07107	acyl-CoA thioester hydrolase [EC:3.1.2.-]
BBLLADNB_01657	K03562	biopolymer transport protein TolQ
BBLLADNB_01657	K03561	biopolymer transport protein ExbB
BBLLADNB_01658	K03559	biopolymer transport protein ExbD
BBLLADNB_01659	K03646	colicin import membrane protein
BBLLADNB_01660	K03641	TolB protein  
BBLLADNB_01661	K03640	peptidoglycan-associated lipoprotein  
BBLLADNB_01663	K10026	7-carboxy-7-deazaguanine synthase [EC:4.3.99.3] 
BBLLADNB_01667	K06920	7-cyano-7-deazaguanine synthase [EC:6.3.4.20] 
BBLLADNB_01668	K03699	putative hemolysin  
BBLLADNB_01670	K00631	glycerol-3-phosphate O-acyltransferase [EC:2.3.1.15] 
BBLLADNB_01671	K02355	elongation factor G 
BBLLADNB_01674	K01999	branched-chain amino acid transport
BBLLADNB_01675	K22468	polyphosphate kinase [EC:2.7.4.1] 
BBLLADNB_01677	K02069	putative ABC transport system
BBLLADNB_01682	K02342	DNA polymerase III subunit
BBLLADNB_01682	K09951	CRISPR-associated protein Cas2 
BBLLADNB_01684	K03424	TatD DNase family protein
BBLLADNB_01685	K02676	type IV pilus assembly
BBLLADNB_01686	K02341	DNA polymerase III subunit
BBLLADNB_01687	K00943	dTMP kinase [EC:2.7.4.9] 
BBLLADNB_01688	K07082	UPF0755 protein  
BBLLADNB_01689	K06980	tRNA-modifying protein YgfZ 
BBLLADNB_01693	K14652	3,4-dihydroxy 2-butanone 4-phosphate synthase
BBLLADNB_01694	K00794	6,7-dimethyl-8-ribityllumazine synthase [EC:2.5.1.78] 
BBLLADNB_01695	K03625	transcription antitermination protein NusB
BBLLADNB_01696	K00946	thiamine-monophosphate kinase [EC:2.7.4.16] 
BBLLADNB_01697	K01095	phosphatidylglycerophosphatase A [EC:3.1.3.27] 
BBLLADNB_01698	K03743	nicotinamide-nucleotide amidase [EC:3.5.1.42] 
BBLLADNB_01700	K03553	recombination protein RecA 
BBLLADNB_01701	K03565	regulatory protein  
BBLLADNB_01702	K06861	lipopolysaccharide export system ATP-binding
BBLLADNB_01702	K10822	nonpolar-amino-acid-transporting ATPase [EC:7.4.2.2] 
BBLLADNB_01703	K03092	RNA polymerase sigma-54 factor
BBLLADNB_01704	K05808	putative sigma-54 modulation protein
BBLLADNB_01705	K02806	nitrogen PTS system EIIA
BBLLADNB_01706	K06023	HPr kinase/phosphorylase [EC:2.7.11.- 2.7.4.-]
BBLLADNB_01710	K03981	thiol:disulfide interchange protein DsbC
BBLLADNB_01718	K03412	two-component system, chemotaxis family,
BBLLADNB_01720	K04771	serine protease Do [EC:3.4.21.107]
BBLLADNB_01721	K07645	two-component system, OmpR family,
BBLLADNB_01721	K02484	two-component system, OmpR family,
BBLLADNB_01722	K07666	two-component system, OmpR family,
BBLLADNB_01722	K02483	two-component system, OmpR family,
BBLLADNB_01727	K20074	PPM family protein phosphatase
BBLLADNB_01733	K07665	two-component system, OmpR family,
BBLLADNB_01740	K02456	general secretion pathway protein
BBLLADNB_01741	K02456	general secretion pathway protein
BBLLADNB_01742	K02453	general secretion pathway protein
BBLLADNB_01749	K02456	general secretion pathway protein
BBLLADNB_01751	K02066	phospholipid/cholesterol/gamma-HCH transport system permease
BBLLADNB_01752	K02067	phospholipid/cholesterol/gamma-HCH transport system substrate-binding
BBLLADNB_01753	K04754	phospholipid-binding lipoprotein MlaA 
BBLLADNB_01754	K07323	phospholipid transport system substrate-binding
BBLLADNB_01755	K07122	phospholipid transport system transporter-binding
BBLLADNB_01756	K01990	ABC-2 type transport system
BBLLADNB_01759	K00790	UDP-N-acetylglucosamine 1-carboxyvinyltransferase [EC:2.5.1.7] 
BBLLADNB_01762	K01647	citrate synthase [EC:2.3.3.1] 
BBLLADNB_01763	K07001	NTE family protein 
BBLLADNB_01771	K07019	uncharacterized protein  
BBLLADNB_01773	K02843	heptosyltransferase II [EC:2.4.-.-] 
BBLLADNB_01775	K00826	branched-chain amino acid aminotransferase
BBLLADNB_01776	K12152	phosphatase NudJ [EC:3.6.1.-] 
BBLLADNB_01778	K00566	tRNA-uridine 2-sulfurtransferase [EC:2.8.1.13] 
BBLLADNB_01782	K03791	putative chitinase  
BBLLADNB_01784	K02948	small subunit ribosomal protein
BBLLADNB_01786	K04759	ferrous iron transport protein
BBLLADNB_01787	K04758	ferrous iron transport protein
BBLLADNB_01788	K15011	two-component system, sensor histidine
BBLLADNB_01789	K15012	two-component system, response regulator
BBLLADNB_01790	K04762	ribosome-associated heat shock protein
BBLLADNB_01792	K03733	integrase/recombinase XerC  
BBLLADNB_01793	K09921	uncharacterized protein  
BBLLADNB_01794	K01778	diaminopimelate epimerase [EC:5.1.1.7] 
BBLLADNB_01796	K00799	glutathione S-transferase [EC:2.5.1.18] 
BBLLADNB_01798	K09700	uncharacterized protein  
BBLLADNB_01808	K20370	phosphoenolpyruvate carboxykinase (diphosphate) [EC:4.1.1.38]
BBLLADNB_01810	K09908	uncharacterized protein  
BBLLADNB_01811	K00263	leucine dehydrogenase [EC:1.4.1.9] 
BBLLADNB_01812	K04090	indolepyruvate ferredoxin oxidoreductase [EC:1.2.7.8]
BBLLADNB_01819	K12960	5-methylthioadenosine/S-adenosylhomocysteine deaminase [EC:3.5.4.31 3.5.4.28]
BBLLADNB_01828	K03547	DNA repair protein SbcD/Mre11
BBLLADNB_01834	K00990	[protein-PII] uridylyltransferase [EC:2.7.7.59] 
BBLLADNB_01836	K14540	ribosome biogenesis GTPase A
BBLLADNB_01838	K03496	chromosome partitioning protein 
BBLLADNB_01842	K07220	uncharacterized protein  
BBLLADNB_01843	K03306	inorganic phosphate transporter, PiT
BBLLADNB_01845	K03745	SlyX protein  
BBLLADNB_01847	K02342	DNA polymerase III subunit
BBLLADNB_01847	K09951	CRISPR-associated protein Cas2 
BBLLADNB_01848	K03469	ribonuclease HI [EC:3.1.26.4] 
BBLLADNB_01850	K01069	hydroxyacylglutathione hydrolase [EC:3.1.2.6] 
BBLLADNB_01854	K06886	hemoglobin   
BBLLADNB_01855	K06207	GTP-binding protein  
BBLLADNB_01856	K08682	acyl carrier protein phosphodiesterase
BBLLADNB_01858	K12340	outer membrane protein 
BBLLADNB_01859	K02005	HlyD family secretion protein
BBLLADNB_01860	K02003	putative ABC transport system
BBLLADNB_01861	K02004	putative ABC transport system
BBLLADNB_01862	K01726	gamma-carbonic anhydrase [EC:4.2.1.-] 
BBLLADNB_01865	K02004	putative ABC transport system
BBLLADNB_01866	K02004	putative ABC transport system
BBLLADNB_01868	K07637	two-component system, OmpR family,
BBLLADNB_01871	K02316	DNA primase [EC:2.7.7.101] 
BBLLADNB_01872	K09117	uncharacterized protein  
BBLLADNB_01873	K02970	small subunit ribosomal protein
BBLLADNB_01874	K03699	putative hemolysin  
BBLLADNB_01875	K03699	putative hemolysin  
BBLLADNB_01876	K03699	putative hemolysin  
BBLLADNB_01881	K03769	peptidyl-prolyl cis-trans isomerase C
BBLLADNB_01882	K05527	BolA family transcriptional regulator,
BBLLADNB_01883	K09780	uncharacterized protein  
BBLLADNB_01884	K06190	intracellular septation protein 
BBLLADNB_01885	K03327	multidrug resistance protein, MATE
BBLLADNB_01887	K07647	two-component system, OmpR family,
BBLLADNB_01887	K20976	histidine phosphotransfer protein HptB
BBLLADNB_01888	K20976	histidine phosphotransfer protein HptB
BBLLADNB_01889	K21023	diguanylate cyclase [EC:2.7.7.65] 
BBLLADNB_01890	K13590	diguanylate cyclase [EC:2.7.7.65] 
BBLLADNB_01891	K13590	diguanylate cyclase [EC:2.7.7.65] 
BBLLADNB_01891	K07216	hemerythrin   
BBLLADNB_01893	K09928	uncharacterized protein  
BBLLADNB_01894	K07090	uncharacterized protein  
BBLLADNB_01896	K03799	heat shock protein HtpX
BBLLADNB_01897	K08714	voltage-gated sodium channel 
BBLLADNB_01900	K05794	tellurite resistance protein TerC
BBLLADNB_01902	K03717	LysR family transcriptional regulator,
BBLLADNB_01903	K05564	multicomponent K+:H+ antiporter subunit
BBLLADNB_01904	K05563	multicomponent K+:H+ antiporter subunit
BBLLADNB_01904	K05570	multicomponent Na+:H+ antiporter subunit
BBLLADNB_01905	K05562	multicomponent K+:H+ antiporter subunit
BBLLADNB_01905	K05569	multicomponent Na+:H+ antiporter subunit
BBLLADNB_01906	K05561	multicomponent K+:H+ antiporter subunit
BBLLADNB_01907	K05560	multicomponent K+:H+ antiporter subunit
BBLLADNB_01908	K05565	multicomponent Na+:H+ antiporter subunit
BBLLADNB_01908	K05566	multicomponent Na+:H+ antiporter subunit
BBLLADNB_01910	K00285	D-amino-acid dehydrogenase [EC:1.4.5.1] 
BBLLADNB_01911	K03424	TatD DNase family protein
BBLLADNB_01913	K00239	succinate dehydrogenase / fumarate
BBLLADNB_01913	K00244	fumarate reductase flavoprotein subunit
BBLLADNB_01914	K00245	fumarate reductase iron-sulfur subunit
BBLLADNB_01914	K00240	succinate dehydrogenase / fumarate
BBLLADNB_01914	K00246	fumarate reductase subunit C
BBLLADNB_01916	K00247	fumarate reductase subunit D
BBLLADNB_01917	K21087	flagellar brake protein 
BBLLADNB_01918	K04061	flagellar biosynthesis protein 
BBLLADNB_01920	K02423	flagellar protein FliT 
BBLLADNB_01921	K02422	flagellar protein FliS 
BBLLADNB_01922	K02407	flagellar hook-associated protein 2
BBLLADNB_01923	K06603	flagellar protein FlaG 
BBLLADNB_01924	K02406	flagellin   
BBLLADNB_01925	K02653	type IV pilus assembly
BBLLADNB_01926	K02654	leader peptidase (prepilin peptidase)
BBLLADNB_01929	K01876	aspartyl-tRNA synthetase [EC:6.1.1.12] 
BBLLADNB_01930	K01167	ribonuclease T1 [EC:3.1.27.3] 
BBLLADNB_01932	K08310	dihydroneopterin triphosphate diphosphatase [EC:3.6.1.67]
BBLLADNB_01938	K03089	RNA polymerase sigma-32 factor
BBLLADNB_01939	K00615	transketolase [EC:2.2.1.1]  
BBLLADNB_01940	K00855	phosphoribulokinase [EC:2.7.1.19]  
BBLLADNB_01941	K01086	fructose-1,6-bisphosphatase I / sedoheptulose-1,7-bisphosphatase
BBLLADNB_01941	K03841	fructose-1,6-bisphosphatase I [EC:3.1.3.11] 
BBLLADNB_01942	K21703	LysR family transcriptional regulator,
BBLLADNB_01943	K05788	integration host factor subunit
BBLLADNB_01945	K07454	putative restriction endonuclease 
BBLLADNB_01955	K06006	periplasmic protein CpxP/Spy 
BBLLADNB_01956	K07090	uncharacterized protein  
BBLLADNB_01958	K00568	2-polyprenyl-6-hydroxyphenyl methylase / 3-demethylubiquinone-9
BBLLADNB_01959	K22292	N-acetyl-D-muramate 6-phosphate phosphatase [EC:3.1.3.105]
BBLLADNB_01959	K01091	phosphoglycolate phosphatase [EC:3.1.3.18] 
BBLLADNB_01960	K03795	sirohydrochlorin cobaltochelatase [EC:4.99.1.3] 
BBLLADNB_01961	K22900	tRNA (adenine37-N6)-methyltransferase [EC:2.1.1.-] 
BBLLADNB_01963	K00275	pyridoxamine 5'-phosphate oxidase [EC:1.4.3.5]
BBLLADNB_01965	K10001	glutamate/aspartate transport system substrate-binding
BBLLADNB_01965	K02030	polar amino acid transport
BBLLADNB_01966	K05597	glutamin-(asparagin-)ase [EC:3.5.1.38]  
BBLLADNB_01966	K01424	L-asparaginase [EC:3.5.1.1]  
BBLLADNB_01967	K15371	glutamate dehydrogenase [EC:1.4.1.2] 
BBLLADNB_01969	K01903	succinyl-CoA synthetase beta subunit
BBLLADNB_01970	K02665	type IV pilus assembly
BBLLADNB_01971	K02664	type IV pilus assembly
BBLLADNB_01972	K02663	type IV pilus assembly
BBLLADNB_01973	K02662	type IV pilus assembly
BBLLADNB_01976	K11085	ATP-binding cassette, subfamily B,
BBLLADNB_01976	K06147	ATP-binding cassette, subfamily B,
BBLLADNB_01977	K02848	heptose I phosphotransferase [EC:2.7.1.-]
BBLLADNB_01979	K02848	heptose I phosphotransferase [EC:2.7.1.-]
BBLLADNB_01980	K02844	UDP-glucose:(heptosyl)LPS alpha-1,3-glucosyltransferase [EC:2.4.1.-] 
BBLLADNB_01981	K02517	Kdo2-lipid IVA lauroyltransferase/acyltransferase [EC:2.3.1.241
BBLLADNB_01982	K00789	S-adenosylmethionine synthetase [EC:2.5.1.6] 
BBLLADNB_01995	K04773	protease IV [EC:3.4.21.-] 
BBLLADNB_02000	K09748	ribosome maturation factor RimP
BBLLADNB_02009	K01749	hydroxymethylbilane synthase [EC:2.5.1.61] 
BBLLADNB_02010	K01772	protoporphyrin/coproporphyrin ferrochelatase [EC:4.99.1.1 4.99.1.9]
BBLLADNB_02011	K01599	uroporphyrinogen decarboxylase [EC:4.1.1.37] 
BBLLADNB_02012	K03182	4-hydroxy-3-polyprenylbenzoate decarboxylase [EC:4.1.1.98] 
BBLLADNB_02014	K21023	diguanylate cyclase [EC:2.7.7.65] 
BBLLADNB_02015	K07259	serine-type D-Ala-D-Ala carboxypeptidase/endopeptidase (penicillin-binding
BBLLADNB_02016	K18446	triphosphatase [EC:3.6.1.25]  
BBLLADNB_02017	K21563	CRP/FNR family transcriptional regulator,
BBLLADNB_02020	K05979	2-phosphosulfolactate phosphatase [EC:3.1.3.71] 
BBLLADNB_02023	K04653	hydrogenase expression/formation protein HypC
BBLLADNB_02024	K03605	hydrogenase maturation protease [EC:3.4.23.-]
BBLLADNB_02027	K09931	uncharacterized protein  
BBLLADNB_02029	K03717	LysR family transcriptional regulator,
BBLLADNB_02031	K19416	modulator of FtsH protease
BBLLADNB_02032	K03639	GTP 3',8-cyclase [EC:4.1.99.22] 
BBLLADNB_02033	K03750	molybdopterin molybdotransferase [EC:2.10.1.1] 
BBLLADNB_02037	K01130	arylsulfatase [EC:3.1.6.1]  
BBLLADNB_02039	K03637	cyclic pyranopterin monophosphate synthase
BBLLADNB_02040	K03704	cold shock protein 
BBLLADNB_02041	K06891	ATP-dependent Clp protease adaptor
BBLLADNB_02042	K03694	ATP-dependent Clp protease ATP-binding
BBLLADNB_02043	K02553	regulator of ribonuclease activity
BBLLADNB_02045	K01637	isocitrate lyase [EC:4.1.3.1] 
BBLLADNB_02049	K01638	malate synthase [EC:2.3.3.9] 
BBLLADNB_02050	K00986	RNA-directed DNA polymerase [EC:2.7.7.49]
BBLLADNB_02053	K03497	ParB family transcriptional regulator,
BBLLADNB_02068	K19344	cytochrome c55X  
BBLLADNB_02086	K02990	small subunit ribosomal protein
BBLLADNB_02087	K02963	small subunit ribosomal protein
BBLLADNB_02088	K02939	large subunit ribosomal protein
BBLLADNB_02089	K02314	replicative DNA helicase [EC:3.6.4.12]
BBLLADNB_02091	K07175	PhoH-like ATPase  
BBLLADNB_02092	K03564	peroxiredoxin Q/BCP [EC:1.11.1.15] 
BBLLADNB_02093	K01356	repressor LexA [EC:3.4.21.88] 
BBLLADNB_02094	K14160	protein ImuA  
BBLLADNB_02097	K03617	Na+-translocating ferredoxin:NAD+ oxidoreductase subunit
BBLLADNB_02098	K00254	dihydroorotate dehydrogenase [EC:1.3.5.2] 
BBLLADNB_02100	K05772	tungstate transport system substrate-binding
BBLLADNB_02101	K05773	tungstate transport system permease
BBLLADNB_02103	K03177	tRNA pseudouridine55 synthase [EC:5.4.99.25]
BBLLADNB_02104	K02834	ribosome-binding factor A 
BBLLADNB_02105	K02519	translation initiation factor IF-2
BBLLADNB_02106	K02600	transcription termination/antitermination protein NusA
BBLLADNB_02107	K09748	ribosome maturation factor RimP
BBLLADNB_02108	K06178	23S rRNA pseudouridine2605 synthase
BBLLADNB_02109	K01816	hydroxypyruvate isomerase [EC:5.3.1.22] 
BBLLADNB_02111	K00798	cob(I)alamin adenosyltransferase [EC:2.5.1.17] 
BBLLADNB_02114	K05799	GntR family transcriptional regulator,
BBLLADNB_02115	K21395	TRAP-type transport system periplasmic
BBLLADNB_02117	K11690	C4-dicarboxylate transporter, DctM subunit
BBLLADNB_02118	K08319	L-threonate 2-dehydrogenase [EC:1.1.1.411] 
BBLLADNB_02118	K00020	3-hydroxyisobutyrate dehydrogenase [EC:1.1.1.31] 
BBLLADNB_02119	K21948	3-dehydrotetronate 4-kinase [EC:2.7.1.217] 
BBLLADNB_02120	K22130	3-dehydro-4-phosphotetronate decarboxylase [EC:4.1.1.104] 
BBLLADNB_02121	K22131	2-dehydrotetronate isomerase [EC:5.3.1.35] 
BBLLADNB_02121	K01816	hydroxypyruvate isomerase [EC:5.3.1.22] 
BBLLADNB_02122	K22025	D-erythronate 2-dehydrogenase [EC:1.1.1.410] 
BBLLADNB_02125	K02199	cytochrome c biogenesis protein
BBLLADNB_02126	K02200	cytochrome c-type biogenesis protein
BBLLADNB_02127	K02200	cytochrome c-type biogenesis protein
BBLLADNB_02128	K07494	putative transposase  
BBLLADNB_02129	K02569	cytochrome c-type protein NapC
BBLLADNB_02131	K00998	CDP-diacylglycerol---serine O-phosphatidyltransferase [EC:2.7.8.8] 
BBLLADNB_02138	K02112	F-type H+/Na+-transporting ATPase subunit
BBLLADNB_02139	K02114	F-type H+-transporting ATPase subunit
BBLLADNB_02140	K03690	ubiquinone biosynthesis protein UbiJ
BBLLADNB_02142	K03183	demethylmenaquinone methyltransferase / 2-methoxy-6-polyprenyl-1,4-benzoquinol
BBLLADNB_02144	K23127	cyclic-di-GMP-binding protein  
BBLLADNB_02146	K03699	putative hemolysin  
BBLLADNB_02147	K03699	putative hemolysin  
BBLLADNB_02149	K03324	phosphate:Na+ symporter  
BBLLADNB_02152	K00793	riboflavin synthase [EC:2.5.1.9] 
BBLLADNB_02154	K08303	putative protease [EC:3.4.-.-] 
BBLLADNB_02155	K08301	ribonuclease G [EC:3.1.26.-] 
BBLLADNB_02157	K07050	misacylated tRNA(Ala) deacylase [EC:3.1.1.-]
BBLLADNB_02158	K05802	potassium-dependent mechanosensitive channel 
BBLLADNB_02160	K06911	quercetin 2,3-dioxygenase [EC:1.13.11.24] 
BBLLADNB_02161	K01586	diaminopimelate decarboxylase [EC:4.1.1.20] 
BBLLADNB_02171	K07507	putative Mg2+ transporter-C (MgtC)
BBLLADNB_02177	K01174	micrococcal nuclease [EC:3.1.31.1] 
BBLLADNB_02181	K06919	putative DNA primase/helicase 
BBLLADNB_02190	K14160	protein ImuA  
BBLLADNB_02191	K14161	protein ImuB  
BBLLADNB_02195	K00253	isovaleryl-CoA dehydrogenase [EC:1.3.8.4] 
BBLLADNB_02196	K01673	carbonic anhydrase [EC:4.2.1.1] 
BBLLADNB_02198	K00249	acyl-CoA dehydrogenase [EC:1.3.8.7] 
BBLLADNB_02200	K01969	3-methylcrotonyl-CoA carboxylase beta subunit
BBLLADNB_02201	K13766	methylglutaconyl-CoA hydratase [EC:4.2.1.18] 
BBLLADNB_02202	K01968	3-methylcrotonyl-CoA carboxylase alpha subunit
BBLLADNB_02203	K01640	hydroxymethylglutaryl-CoA lyase [EC:4.1.3.4] 
BBLLADNB_02204	K06938	uncharacterized protein  
BBLLADNB_02205	K06938	uncharacterized protein  
BBLLADNB_02209	K00382	dihydrolipoamide dehydrogenase [EC:1.8.1.4] 
BBLLADNB_02214	K01126	glycerophosphoryl diester phosphodiesterase [EC:3.1.4.46]
BBLLADNB_02215	K01872	alanyl-tRNA synthetase [EC:6.1.1.7] 
BBLLADNB_02216	K01620	threonine aldolase [EC:4.1.2.48] 
BBLLADNB_02219	K15778	phosphomannomutase / phosphoglucomutase [EC:5.4.2.8
BBLLADNB_02222	K09928	uncharacterized protein  
BBLLADNB_02223	K00252	glutaryl-CoA dehydrogenase [EC:1.3.8.6] 
BBLLADNB_02227	K08481	circadian clock protein KaiB
BBLLADNB_02229	K08481	circadian clock protein KaiB
BBLLADNB_02230	K08482	circadian clock protein KaiC
BBLLADNB_02231	K02482	two-component system, NtrC family,
BBLLADNB_02232	K20074	PPM family protein phosphatase
BBLLADNB_02234	K01507	inorganic pyrophosphatase [EC:3.6.1.1] 
BBLLADNB_02236	K00568	2-polyprenyl-6-hydroxyphenyl methylase / 3-demethylubiquinone-9
BBLLADNB_02240	K09767	cyclic-di-GMP-binding protein  
BBLLADNB_02243	K20534	polyisoprenyl-phosphate glycosyltransferase [EC:2.4.-.-] 
BBLLADNB_02244	K03154	sulfur carrier protein 
BBLLADNB_02245	K03149	thiazole synthase [EC:2.8.1.10] 
BBLLADNB_02248	K03499	trk system potassium uptake
BBLLADNB_02249	K15724	iron-sulfur cluster insertion protein
BBLLADNB_02250	K00145	N-acetyl-gamma-glutamyl-phosphate reductase [EC:1.2.1.38] 
BBLLADNB_02251	K02996	small subunit ribosomal protein
BBLLADNB_02252	K02871	large subunit ribosomal protein
BBLLADNB_02253	K07397	putative redox protein 
BBLLADNB_02254	K06134	3-demethoxyubiquinol 3-hydroxylase [EC:1.14.99.60] 
BBLLADNB_02256	K08311	putative (di)nucleoside polyphosphate hydrolase
BBLLADNB_02257	K01881	prolyl-tRNA synthetase [EC:6.1.1.15] 
BBLLADNB_02259	K03106	signal recognition particle subunit
BBLLADNB_02262	K00339	NADH-quinone oxidoreductase subunit J
BBLLADNB_02263	K00338	NADH-quinone oxidoreductase subunit I
BBLLADNB_02264	K00337	NADH-quinone oxidoreductase subunit H
BBLLADNB_02265	K00336	NADH-quinone oxidoreductase subunit G
BBLLADNB_02266	K00335	NADH-quinone oxidoreductase subunit F
