NHBDKAOG_00003	K07334	toxin HigB-1  
NHBDKAOG_01544	K00800	3-phosphoshikimate 1-carboxyvinyltransferase [EC:2.5.1.19] 
NHBDKAOG_01544	K00945	CMP/dCMP kinase [EC:2.7.4.25] 
NHBDKAOG_01545	K02945	small subunit ribosomal protein
NHBDKAOG_01546	K05788	integration host factor subunit
NHBDKAOG_01547	K19804	lipopolysaccharide assembly protein B
NHBDKAOG_01548	K21344	D-glycero-beta-D-manno-heptose-7-phosphate kinase [EC:2.7.1.167] 
NHBDKAOG_01549	K03274	ADP-L-glycero-D-manno-heptose 6-epimerase [EC:5.1.3.20] 
NHBDKAOG_01550	K12339	S-sulfo-L-cysteine synthase (O-acetyl-L-serine-dependent) [EC:2.5.1.144]
NHBDKAOG_01551	K07501	3'-5' exonuclease  
NHBDKAOG_01553	K10001	glutamate/aspartate transport system substrate-binding
NHBDKAOG_01557	K00024	malate dehydrogenase [EC:1.1.1.37] 
NHBDKAOG_01558	K03710	GntR family transcriptional regulator
NHBDKAOG_01570	K07028	uncharacterized protein  
NHBDKAOG_01571	K07028	uncharacterized protein  
NHBDKAOG_01574	K15523	protein-ribulosamine 3-kinase [EC:2.7.1.172] 
NHBDKAOG_01575	K13590	diguanylate cyclase [EC:2.7.7.65] 
NHBDKAOG_01576	K21023	diguanylate cyclase [EC:2.7.7.65] 
NHBDKAOG_01576	K02488	two-component system, cell cycle
NHBDKAOG_01581	K03406	methyl-accepting chemotaxis protein 
NHBDKAOG_01581	K07216	hemerythrin   
NHBDKAOG_01582	K21023	diguanylate cyclase [EC:2.7.7.65] 
NHBDKAOG_01585	K20974	two-component system, sensor histidine
NHBDKAOG_01587	K02014	iron complex outermembrane recepter
NHBDKAOG_01588	K02040	phosphate transport system substrate-binding
NHBDKAOG_01589	K20974	two-component system, sensor histidine
NHBDKAOG_01589	K20976	histidine phosphotransfer protein HptB
NHBDKAOG_01591	K01778	diaminopimelate epimerase [EC:5.1.1.7] 
NHBDKAOG_01592	K09921	uncharacterized protein  
NHBDKAOG_01593	K03733	integrase/recombinase XerC  
NHBDKAOG_01595	K02575	MFS transporter, NNP family,
NHBDKAOG_01596	K00363	nitrite reductase (NADH) small
NHBDKAOG_01598	K02902	large subunit ribosomal protein
NHBDKAOG_01599	K02913	large subunit ribosomal protein
NHBDKAOG_01600	K01626	3-deoxy-7-phosphoheptulonate synthase [EC:2.5.1.54] 
NHBDKAOG_01601	K07814	putative two-component system response
NHBDKAOG_01603	K06942	ribosome-binding ATPase  
NHBDKAOG_01604	K01056	peptidyl-tRNA hydrolase, PTH1 family
NHBDKAOG_01605	K02897	large subunit ribosomal protein
NHBDKAOG_01606	K00948	ribose-phosphate pyrophosphokinase [EC:2.7.6.1] 
NHBDKAOG_01608	K00919	4-diphosphocytidyl-2-C-methyl-D-erythritol kinase [EC:2.7.1.148] 
NHBDKAOG_01609	K02494	outer membrane lipoprotein LolB
NHBDKAOG_01611	K10563	formamidopyrimidine-DNA glycosylase [EC:3.2.2.23 4.2.99.18]
NHBDKAOG_01618	K00831	phosphoserine aminotransferase [EC:2.6.1.52] 
NHBDKAOG_01619	K00058	D-3-phosphoglycerate dehydrogenase / 2-oxoglutarate
NHBDKAOG_01621	K00688	glycogen phosphorylase [EC:2.4.1.1] 
NHBDKAOG_01622	K03719	Lrp/AsnC family transcriptional regulator,
NHBDKAOG_01623	K08227	MFS transporter, LPLT family,
NHBDKAOG_01625	K01775	alanine racemase [EC:5.1.1.1] 
NHBDKAOG_01626	K04485	DNA repair protein RadA/Sms
NHBDKAOG_01631	K09822	uncharacterized protein  
NHBDKAOG_01633	K01512	acylphosphatase [EC:3.6.1.7]  
NHBDKAOG_01635	K01525	bis(5'-nucleosyl)-tetraphosphatase (symmetrical) [EC:3.6.1.41] 
NHBDKAOG_01636	K01784	UDP-glucose 4-epimerase [EC:5.1.3.2] 
NHBDKAOG_01637	K03746	DNA-binding protein H-NS 
NHBDKAOG_01638	K16048	3-hydroxy-9,10-secoandrosta-1,3,5(10)-triene-9,17-dione monooxygenase reductase component
NHBDKAOG_01639	K03575	A/G-specific adenine glycosylase [EC:3.2.2.31]
NHBDKAOG_01640	K21023	diguanylate cyclase [EC:2.7.7.65] 
NHBDKAOG_01642	K03186	flavin prenyltransferase [EC:2.5.1.129] 
NHBDKAOG_01645	K16165	fumarylpyruvate hydrolase [EC:3.7.1.20] 
NHBDKAOG_01648	K06153	undecaprenyl-diphosphatase [EC:3.6.1.27]  
NHBDKAOG_01649	K07000	uncharacterized protein  
NHBDKAOG_01650	K01147	exoribonuclease II [EC:3.1.13.1] 
NHBDKAOG_01651	K03832	periplasmic protein TonB 
NHBDKAOG_01653	K03814	monofunctional glycosyltransferase [EC:2.4.1.129] 
NHBDKAOG_01656	K08296	phosphohistidine phosphatase [EC:3.1.3.-] 
NHBDKAOG_01658	K01649	2-isopropylmalate synthase [EC:2.3.3.13] 
NHBDKAOG_01659	K03719	Lrp/AsnC family transcriptional regulator,
NHBDKAOG_01665	K09983	uncharacterized protein  
NHBDKAOG_01667	K00799	glutathione S-transferase [EC:2.5.1.18] 
NHBDKAOG_01670	K05795	tellurium resistance protein TerD
NHBDKAOG_01674	K03793	pteridine reductase [EC:1.5.1.33] 
NHBDKAOG_01675	K14058	tRNA 2-thiocytidine biosynthesis protein
NHBDKAOG_01677	K02242	competence protein ComFC 
NHBDKAOG_01678	K01012	biotin synthase [EC:2.8.1.6] 
NHBDKAOG_01679	K02169	malonyl-CoA O-methyltransferase [EC:2.1.1.197] 
NHBDKAOG_01686	K03427	type I restriction enzyme
NHBDKAOG_01688	K01154	type I restriction enzyme,
NHBDKAOG_01709	K04069	pyruvate formate lyase activating
NHBDKAOG_01710	K06990	MEMO1 family protein 
NHBDKAOG_01710	K09141	uncharacterized protein  
NHBDKAOG_01711	K06990	MEMO1 family protein 
NHBDKAOG_01712	K00991	2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase [EC:2.7.7.60]
NHBDKAOG_01713	K01770	2-C-methyl-D-erythritol 2,4-cyclodiphosphate synthase [EC:4.6.1.12]
NHBDKAOG_01719	K06042	precorrin-8X/cobalt-precorrin-8 methylmutase [EC:5.4.99.61 5.4.99.60]
NHBDKAOG_01720	K02188	cobalt-precorrin-5B (C1)-methyltransferase [EC:2.1.1.195] 
NHBDKAOG_01721	K00595	precorrin-6Y C5,15-methyltransferase (decarboxylating) [EC:2.1.1.132]
NHBDKAOG_01722	K03394	precorrin-2/cobalt-factor-2 C20-methyltransferase [EC:2.1.1.130 2.1.1.151]
NHBDKAOG_01723	K02189	cobalt-precorrin 5A hydrolase [EC:3.7.1.12]
NHBDKAOG_01724	K02189	cobalt-precorrin 5A hydrolase [EC:3.7.1.12]
NHBDKAOG_01725	K05934	precorrin-3B C17-methyltransferase [EC:2.1.1.131] 
NHBDKAOG_01730	K01046	triacylglycerol lipase [EC:3.1.1.3] 
NHBDKAOG_01733	K00154	coniferyl-aldehyde dehydrogenase [EC:1.2.1.68] 
NHBDKAOG_01736	K08305	membrane-bound lytic murein transglycosylase
NHBDKAOG_01736	K01792	glucose-6-phosphate 1-epimerase [EC:5.1.3.15] 
NHBDKAOG_01740	K03775	FKBP-type peptidyl-prolyl cis-trans isomerase
NHBDKAOG_01741	K01999	branched-chain amino acid transport
NHBDKAOG_01743	K03555	DNA mismatch repair protein
NHBDKAOG_01747	K00175	2-oxoglutarate/2-oxoacid ferredoxin oxidoreductase subunit
NHBDKAOG_01748	K00174	2-oxoglutarate/2-oxoacid ferredoxin oxidoreductase subunit
NHBDKAOG_01751	K01759	lactoylglutathione lyase [EC:4.4.1.5] 
NHBDKAOG_01752	K07043	uncharacterized protein  
NHBDKAOG_01753	K00655	1-acyl-sn-glycerol-3-phosphate acyltransferase [EC:2.3.1.51] 
NHBDKAOG_01754	K03273	D-glycero-D-manno-heptose 1,7-bisphosphate phosphatase [EC:3.1.3.82
NHBDKAOG_01755	K01879	glycyl-tRNA synthetase beta chain
NHBDKAOG_01756	K01878	glycyl-tRNA synthetase alpha chain
NHBDKAOG_01757	K03820	apolipoprotein N-acyltransferase [EC:2.3.1.269] 
NHBDKAOG_01758	K06189	magnesium and cobalt transporter
NHBDKAOG_01759	K01595	phosphoenolpyruvate carboxylase [EC:4.1.1.31] 
NHBDKAOG_01762	K03702	excinuclease ABC subunit B
NHBDKAOG_01763	K00832	aromatic-amino-acid transaminase [EC:2.6.1.57] 
NHBDKAOG_01766	K02040	phosphate transport system substrate-binding
NHBDKAOG_01767	K08683	3-hydroxyacyl-CoA dehydrogenase / 3-hydroxy-2-methylbutyryl-CoA
NHBDKAOG_01771	K01736	chorismate synthase [EC:4.2.3.5] 
NHBDKAOG_01772	K09794	uncharacterized protein  
NHBDKAOG_01773	K05820	MFS transporter, PPP family,
NHBDKAOG_01774	K00259	alanine dehydrogenase [EC:1.4.1.1] 
NHBDKAOG_01775	K07484	transposase   
NHBDKAOG_01777	K01996	branched-chain amino acid transport
NHBDKAOG_01777	K10822	nonpolar-amino-acid-transporting ATPase [EC:7.4.2.2] 
NHBDKAOG_01778	K01995	branched-chain amino acid transport
NHBDKAOG_01778	K10822	nonpolar-amino-acid-transporting ATPase [EC:7.4.2.2] 
NHBDKAOG_01779	K01998	branched-chain amino acid transport
NHBDKAOG_01780	K01997	branched-chain amino acid transport
NHBDKAOG_01782	K07448	restriction system protein 
NHBDKAOG_01785	K01999	branched-chain amino acid transport
NHBDKAOG_01788	K04062	osmotically inducible lipoprotein OsmB
NHBDKAOG_01790	K00942	guanylate kinase [EC:2.7.4.8] 
NHBDKAOG_01791	K03060	DNA-directed RNA polymerase subunit
NHBDKAOG_01792	K01139	GTP diphosphokinase / guanosine-3',5'-bis(diphosphate)
NHBDKAOG_01793	K00285	D-amino-acid dehydrogenase [EC:1.4.5.1] 
NHBDKAOG_01794	K03424	TatD DNase family protein
NHBDKAOG_01796	K00239	succinate dehydrogenase / fumarate
NHBDKAOG_01796	K00244	fumarate reductase flavoprotein subunit
NHBDKAOG_01797	K00245	fumarate reductase iron-sulfur subunit
NHBDKAOG_01797	K00240	succinate dehydrogenase / fumarate
NHBDKAOG_01797	K00246	fumarate reductase subunit C
NHBDKAOG_01799	K01008	selenide, water dikinase [EC:2.7.9.3]
NHBDKAOG_01800	K07213	copper chaperone  
NHBDKAOG_01801	K17686	P-type Cu+ transporter [EC:7.2.2.8]
NHBDKAOG_01801	K01533	P-type Cu2+ transporter [EC:7.2.2.9]
NHBDKAOG_01802	K09792	uncharacterized protein  
NHBDKAOG_01804	K19661	two-component system, NtrC family,
NHBDKAOG_01805	K03832	periplasmic protein TonB 
NHBDKAOG_01806	K02674	type IV pilus assembly
NHBDKAOG_01807	K02673	type IV pilus assembly
NHBDKAOG_01808	K02672	type IV pilus assembly
NHBDKAOG_01809	K02671	type IV pilus assembly
NHBDKAOG_01810	K08084	type IV fimbrial biogenesis
NHBDKAOG_01811	K02655	type IV pilus assembly
NHBDKAOG_01813	K03527	4-hydroxy-3-methylbut-2-en-1-yl diphosphate reductase [EC:1.17.7.4]
NHBDKAOG_01814	K03774	FKBP-type peptidyl-prolyl cis-trans isomerase
NHBDKAOG_01815	K03101	signal peptidase II [EC:3.4.23.36]
NHBDKAOG_01816	K01870	isoleucyl-tRNA synthetase [EC:6.1.1.5] 
NHBDKAOG_01817	K11753	riboflavin kinase / FMN
NHBDKAOG_01818	K01533	P-type Cu2+ transporter [EC:7.2.2.9]
NHBDKAOG_01820	K00404	cytochrome c oxidase cbb3-type
NHBDKAOG_01821	K00405	cytochrome c oxidase cbb3-type
NHBDKAOG_01822	K00407	cytochrome c oxidase cbb3-type
NHBDKAOG_01823	K00406	cytochrome c oxidase cbb3-type
NHBDKAOG_01825	K09926	uncharacterized protein  
NHBDKAOG_01826	K03832	periplasmic protein TonB 
NHBDKAOG_01827	K18453	ADP-ribose/FAD diphosphatase [EC:3.6.1.13 3.6.1.18]
NHBDKAOG_01828	K02556	chemotaxis protein MotA 
NHBDKAOG_01829	K02557	chemotaxis protein MotB 
NHBDKAOG_01830	K00799	glutathione S-transferase [EC:2.5.1.18] 
NHBDKAOG_01831	K01756	adenylosuccinate lyase [EC:4.3.2.2] 
NHBDKAOG_01838	K03406	methyl-accepting chemotaxis protein 
NHBDKAOG_01839	K11527	two-component system, sensor histidine
NHBDKAOG_01842	K04090	indolepyruvate ferredoxin oxidoreductase [EC:1.2.7.8]
NHBDKAOG_01848	K03208	colanic acid biosynthesis glycosyl
NHBDKAOG_01849	K08679	UDP-glucuronate 4-epimerase [EC:5.1.3.6] 
NHBDKAOG_01850	K00012	UDPglucose 6-dehydrogenase [EC:1.1.1.22] 
NHBDKAOG_01853	K02020	molybdate transport system substrate-binding
NHBDKAOG_01854	K06204	DnaK suppressor protein 
NHBDKAOG_01855	K00962	polyribonucleotide nucleotidyltransferase [EC:2.7.7.8] 
NHBDKAOG_01856	K02956	small subunit ribosomal protein
NHBDKAOG_01860	K12573	ribonuclease R [EC:3.1.13.1] 
NHBDKAOG_01864	K03074	preprotein translocase subunit SecF
NHBDKAOG_01865	K03072	preprotein translocase subunit SecD
NHBDKAOG_01866	K03210	preprotein translocase subunit YajC
NHBDKAOG_01867	K00773	queuine tRNA-ribosyltransferase [EC:2.4.2.29] 
NHBDKAOG_01868	K01006	pyruvate, orthophosphate dikinase [EC:2.7.9.1]
NHBDKAOG_01870	K00170	pyruvate ferredoxin oxidoreductase beta
NHBDKAOG_01871	K00169	pyruvate ferredoxin oxidoreductase alpha
NHBDKAOG_01872	K00172	pyruvate ferredoxin oxidoreductase gamma
NHBDKAOG_01873	K14449	2-methylfumaryl-CoA hydratase [EC:4.2.1.148] 
NHBDKAOG_01874	K08691	malyl-CoA/(S)-citramalyl-CoA lyase [EC:4.1.3.24 4.1.3.25]
NHBDKAOG_01874	K01644	citrate lyase subunit beta
NHBDKAOG_01875	K14470	2-methylfumaryl-CoA isomerase [EC:5.4.1.3] 
NHBDKAOG_01878	K09709	3-methylfumaryl-CoA hydratase [EC:4.2.1.153] 
NHBDKAOG_01881	K14448	(2S)-methylsuccinyl-CoA dehydrogenase [EC:1.3.8.12] 
NHBDKAOG_01882	K14449	2-methylfumaryl-CoA hydratase [EC:4.2.1.148] 
NHBDKAOG_01883	K14447	ethylmalonyl-CoA mutase [EC:5.4.99.63] 
NHBDKAOG_01884	K07588	LAO/AO transport system kinase
NHBDKAOG_01885	K14446	crotonyl-CoA carboxylase/reductase [EC:1.3.1.85] 
NHBDKAOG_01886	K00344	NADPH:quinone reductase [EC:1.6.5.5] 
NHBDKAOG_01887	K17865	3-hydroxybutyryl-CoA dehydratase [EC:4.2.1.55] 
NHBDKAOG_01888	K00428	cytochrome c peroxidase [EC:1.11.1.5]
NHBDKAOG_01890	K05786	chloramphenicol-sensitive protein RarD 
NHBDKAOG_01893	K03554	recombination associated protein RdgC
NHBDKAOG_01894	K03722	ATP-dependent DNA helicase DinG
NHBDKAOG_01896	K03753	molybdopterin-guanine dinucleotide biosynthesis adapter
NHBDKAOG_01897	K03750	molybdopterin molybdotransferase [EC:2.10.1.1] 
NHBDKAOG_01898	K03636	sulfur-carrier protein  
NHBDKAOG_01899	K03635	molybdopterin synthase catalytic subunit
NHBDKAOG_01901	K02314	replicative DNA helicase [EC:3.6.4.12]
NHBDKAOG_01903	K07175	PhoH-like ATPase  
NHBDKAOG_01904	K03564	peroxiredoxin Q/BCP [EC:1.11.1.15] 
NHBDKAOG_01932	K01495	GTP cyclohydrolase IA [EC:3.5.4.16]
NHBDKAOG_01934	K07115	23S rRNA (adenine2030-N6)-methyltransferase [EC:2.1.1.266]
NHBDKAOG_01937	K07240	chromate transporter  
NHBDKAOG_01939	K07568	S-adenosylmethionine:tRNA ribosyltransferase-isomerase [EC:2.4.99.17] 
NHBDKAOG_01940	K00797	spermidine synthase [EC:2.5.1.16] 
NHBDKAOG_01942	K11312	cupin 2 domain-containing protein
NHBDKAOG_01943	K10680	N-ethylmaleimide reductase [EC:1.-.-.-] 
NHBDKAOG_01951	K09667	protein O-GlcNAc transferase [EC:2.4.1.255]
NHBDKAOG_01952	K03499	trk system potassium uptake
NHBDKAOG_01956	K03296	hydrophobic/amphiphilic exporter-1 (mainly G-
NHBDKAOG_01957	K02005	HlyD family secretion protein
NHBDKAOG_01959	K05782	benzoate membrane transport protein
NHBDKAOG_01960	K15738	ABC transport system ATP-binding/permease
NHBDKAOG_01969	K15899	pseudaminic acid cytidylyltransferase [EC:2.7.7.81]
NHBDKAOG_01971	K15894	UDP-N-acetylglucosamine 4,6-dehydratase [EC:4.2.1.115] 
NHBDKAOG_01976	K01406	serralysin [EC:3.4.24.40]  
NHBDKAOG_01977	K04061	flagellar biosynthesis protein 
NHBDKAOG_01978	K21087	flagellar brake protein 
NHBDKAOG_01979	K00247	fumarate reductase subunit D
NHBDKAOG_01981	K00632	acetyl-CoA acyltransferase [EC:2.3.1.16] 
NHBDKAOG_01981	K00626	acetyl-CoA C-acetyltransferase [EC:2.3.1.9] 
NHBDKAOG_01985	K09022	2-iminobutanoate/2-iminopropanoate deaminase [EC:3.5.99.10] 
NHBDKAOG_01986	K03655	ATP-dependent DNA helicase RecG
NHBDKAOG_01987	K03406	methyl-accepting chemotaxis protein 
NHBDKAOG_01989	K03583	exodeoxyribonuclease V gamma subunit
NHBDKAOG_01990	K03582	exodeoxyribonuclease V beta subunit
NHBDKAOG_01991	K03581	exodeoxyribonuclease V alpha subunit
NHBDKAOG_01992	K02454	general secretion pathway protein
NHBDKAOG_01994	K04079	molecular chaperone HtpG 
NHBDKAOG_01995	K04760	transcription elongation factor GreB
NHBDKAOG_02000	K00573	protein-L-isoaspartate(D-aspartate) O-methyltransferase [EC:2.1.1.77] 
NHBDKAOG_02002	K09966	uncharacterized protein  
NHBDKAOG_02004	K04755	ferredoxin, 2Fe-2S  
NHBDKAOG_02005	K04044	molecular chaperone HscA 
NHBDKAOG_02006	K04082	molecular chaperone HscB 
NHBDKAOG_02007	K13628	iron-sulfur cluster assembly protein
NHBDKAOG_02008	K04488	nitrogen fixation protein NifU
NHBDKAOG_02009	K04487	cysteine desulfurase [EC:2.8.1.7] 
NHBDKAOG_02010	K04487	cysteine desulfurase [EC:2.8.1.7] 
NHBDKAOG_02011	K13643	Rrf2 family transcriptional regulator,
NHBDKAOG_02012	K00640	serine O-acetyltransferase [EC:2.3.1.30] 
NHBDKAOG_02013	K02533	tRNA/rRNA methyltransferase [EC:2.1.1.-] 
NHBDKAOG_02014	K01092	myo-inositol-1(or 4)-monophosphatase [EC:3.1.3.25] 
NHBDKAOG_02018	K01069	hydroxyacylglutathione hydrolase [EC:3.1.2.6] 
NHBDKAOG_02019	K00382	dihydrolipoamide dehydrogenase [EC:1.8.1.4] 
NHBDKAOG_02020	K00658	2-oxoglutarate dehydrogenase E2 component
NHBDKAOG_02021	K00164	2-oxoglutarate dehydrogenase E1 component
NHBDKAOG_02022	K01647	citrate synthase [EC:2.3.3.1] 
NHBDKAOG_02023	K09159	antitoxin CptB  
NHBDKAOG_02024	K00240	succinate dehydrogenase / fumarate
NHBDKAOG_02025	K00239	succinate dehydrogenase / fumarate
NHBDKAOG_02026	K00242	succinate dehydrogenase / fumarate
NHBDKAOG_02027	K00241	succinate dehydrogenase / fumarate
NHBDKAOG_02032	K19092	toxin ParE1/3/4  
NHBDKAOG_02038	K08989	putative membrane protein 
NHBDKAOG_02039	K03525	type III pantothenate kinase
NHBDKAOG_02040	K03524	BirA family transcriptional regulator,
NHBDKAOG_02049	K07659	two-component system, OmpR family,
NHBDKAOG_02049	K02483	two-component system, OmpR family,
NHBDKAOG_02050	K07638	two-component system, OmpR family,
NHBDKAOG_02052	K02939	large subunit ribosomal protein
NHBDKAOG_02053	K02963	small subunit ribosomal protein
NHBDKAOG_02054	K02686	primosomal replication protein N
NHBDKAOG_02055	K02990	small subunit ribosomal protein
NHBDKAOG_02057	K03695	ATP-dependent Clp protease ATP-binding
NHBDKAOG_02059	K07711	two-component system, NtrC family,
NHBDKAOG_02061	K07715	two-component system, NtrC family,
NHBDKAOG_02062	K01682	aconitate hydratase 2 /
NHBDKAOG_02064	K06168	tRNA-2-methylthio-N6-dimethylallyladenosine synthase [EC:2.8.4.3] 
NHBDKAOG_02065	K06217	phosphate starvation-inducible protein PhoH
NHBDKAOG_02066	K07042	probable rRNA maturation factor
NHBDKAOG_02070	K01768	adenylate cyclase [EC:4.6.1.1] 
NHBDKAOG_02072	K07126	uncharacterized protein  
NHBDKAOG_02073	K02473	UDP-N-acetylglucosamine 4-epimerase [EC:5.1.3.7] 
NHBDKAOG_02074	K02474	UDP-N-acetyl-D-galactosamine dehydrogenase [EC:1.1.1.-] 
NHBDKAOG_02076	K02481	two-component system, NtrC family,
NHBDKAOG_02080	K01907	acetoacetyl-CoA synthetase [EC:6.2.1.16] 
NHBDKAOG_02081	K07107	acyl-CoA thioester hydrolase [EC:3.1.2.-]
NHBDKAOG_02082	K20035	3-(methylthio)propanoyl-CoA dehydrogenase [EC:1.3.8.-] 
NHBDKAOG_02085	K03522	electron transfer flavoprotein alpha
NHBDKAOG_02086	K03521	electron transfer flavoprotein beta
NHBDKAOG_02086	K03522	electron transfer flavoprotein alpha
NHBDKAOG_02091	K04653	hydrogenase expression/formation protein HypC
NHBDKAOG_02092	K03605	hydrogenase maturation protease [EC:3.4.23.-]
NHBDKAOG_02093	K06281	hydrogenase large subunit [EC:1.12.99.6]
NHBDKAOG_02095	K00124	formate dehydrogenase iron-sulfur subunit
NHBDKAOG_02098	K20034	3-(methylthio)propionyl---CoA ligase [EC:6.2.1.44] 
NHBDKAOG_02098	K00666	fatty-acyl-CoA synthase [EC:6.2.1.-] 
NHBDKAOG_02099	K06889	uncharacterized protein  
NHBDKAOG_02102	K03406	methyl-accepting chemotaxis protein 
NHBDKAOG_02103	K04047	starvation-inducible DNA-binding protein 
NHBDKAOG_02106	K02004	putative ABC transport system
NHBDKAOG_02109	K03406	methyl-accepting chemotaxis protein 
NHBDKAOG_02110	K20333	toxoflavin biosynthesis protein ToxD
NHBDKAOG_02117	K04751	nitrogen regulatory protein P-II
NHBDKAOG_02117	K04752	nitrogen regulatory protein P-II
NHBDKAOG_02118	K09951	CRISPR-associated protein Cas2 
NHBDKAOG_02119	K09951	CRISPR-associated protein Cas2 
NHBDKAOG_02120	K15342	CRISP-associated protein Cas1 
NHBDKAOG_02124	K00384	thioredoxin reductase (NADPH) [EC:1.8.1.9]
NHBDKAOG_02125	K10914	CRP/FNR family transcriptional regulator,
NHBDKAOG_02126	K03466	DNA segregation ATPase FtsK/SpoIIIE,
NHBDKAOG_02127	K03634	outer membrane lipoprotein carrier
NHBDKAOG_02129	K06204	DnaK suppressor protein 
NHBDKAOG_02131	K02342	DNA polymerase III subunit
NHBDKAOG_02131	K09951	CRISPR-associated protein Cas2 
NHBDKAOG_02133	K03424	TatD DNase family protein
NHBDKAOG_02134	K02676	type IV pilus assembly
NHBDKAOG_02135	K02341	DNA polymerase III subunit
NHBDKAOG_02136	K00943	dTMP kinase [EC:2.7.4.9] 
NHBDKAOG_02137	K07082	UPF0755 protein  
NHBDKAOG_02138	K06980	tRNA-modifying protein YgfZ 
NHBDKAOG_02141	K11991	tRNA(adenine34) deaminase [EC:3.5.4.33] 
NHBDKAOG_02145	K06077	outer membrane lipoprotein SlyB
NHBDKAOG_02154	K07001	NTE family protein 
NHBDKAOG_02164	K06926	uncharacterized protein  
NHBDKAOG_02171	K03424	TatD DNase family protein
NHBDKAOG_02172	K12070	conjugal transfer pilus assembly
NHBDKAOG_02182	K03630	DNA repair protein RadC
NHBDKAOG_02194	K07154	serine/threonine-protein kinase HipA [EC:2.7.11.1]
NHBDKAOG_02197	K12071	conjugal transfer pilus assembly
NHBDKAOG_02224	K03169	DNA topoisomerase III [EC:5.6.2.1]
NHBDKAOG_02225	K03111	single-strand DNA-binding protein 
NHBDKAOG_02233	K12055	chromosome partitioning related protein
NHBDKAOG_02233	K03496	chromosome partitioning protein 
NHBDKAOG_02234	K07733	prophage regulatory protein 
NHBDKAOG_02237	K05541	tRNA-dihydrouridine synthase C [EC:1.-.-.-]
NHBDKAOG_02238	K13590	diguanylate cyclase [EC:2.7.7.65] 
NHBDKAOG_02239	K19661	two-component system, NtrC family,
NHBDKAOG_02247	K04078	chaperonin GroES  
NHBDKAOG_02248	K04077	chaperonin GroEL  
NHBDKAOG_02249	K03770	peptidyl-prolyl cis-trans isomerase D
NHBDKAOG_02252	K01338	ATP-dependent Lon protease [EC:3.4.21.53]
NHBDKAOG_02253	K03544	ATP-dependent Clp protease ATP-binding
NHBDKAOG_02254	K01358	ATP-dependent Clp protease, protease
NHBDKAOG_02255	K03545	trigger factor  
NHBDKAOG_02257	K01560	2-haloacid dehalogenase [EC:3.8.1.2] 
NHBDKAOG_02261	K02238	competence protein ComEC 
NHBDKAOG_02263	K06919	putative DNA primase/helicase 
NHBDKAOG_02274	K01174	micrococcal nuclease [EC:3.1.31.1] 
NHBDKAOG_02275	K01153	type I restriction enzyme,
NHBDKAOG_02276	K03427	type I restriction enzyme
NHBDKAOG_02277	K01154	type I restriction enzyme,
NHBDKAOG_02279	K20074	PPM family protein phosphatase
NHBDKAOG_02287	K15342	CRISP-associated protein Cas1 
NHBDKAOG_02288	K09951	CRISPR-associated protein Cas2 
NHBDKAOG_02290	K02226	alpha-ribazole phosphatase [EC:3.1.3.73] 
NHBDKAOG_02291	K06218	mRNA interferase RelE/StbE 
NHBDKAOG_02291	K19158	toxin YoeB [EC:3.1.-.-] 
NHBDKAOG_02298	K00833	adenosylmethionine---8-amino-7-oxononanoate aminotransferase [EC:2.6.1.62] 
NHBDKAOG_02299	K00652	8-amino-7-oxononanoate synthase [EC:2.3.1.47] 
NHBDKAOG_02300	K02170	pimeloyl-[acyl-carrier protein] methyl ester
NHBDKAOG_02301	K02169	malonyl-CoA O-methyltransferase [EC:2.1.1.197] 
NHBDKAOG_02302	K01935	dethiobiotin synthetase [EC:6.3.3.3] 
NHBDKAOG_02303	K00626	acetyl-CoA C-acetyltransferase [EC:2.3.1.9] 
NHBDKAOG_02307	K06985	aspartyl protease family protein
NHBDKAOG_02313	K01420	CRP/FNR family transcriptional regulator,
NHBDKAOG_02314	K02495	oxygen-independent coproporphyrinogen III oxidase
NHBDKAOG_02315	K12286	MSHA biogenesis protein MshP
NHBDKAOG_02316	K12285	MSHA biogenesis protein MshO
NHBDKAOG_02317	K10927	MSHA pilin protein MshD
NHBDKAOG_02318	K10926	MSHA pilin protein MshC
NHBDKAOG_02319	K12287	MSHA biogenesis protein MshQ
NHBDKAOG_02321	K10924	MSHA pilin protein MshA
NHBDKAOG_02323	K12278	MSHA biogenesis protein MshG
NHBDKAOG_02324	K12276	MSHA biogenesis protein MshE
NHBDKAOG_02324	K02652	type IV pilus assembly
NHBDKAOG_02330	K00558	DNA (cytosine-5)-methyltransferase 1 [EC:2.1.1.37]
NHBDKAOG_02336	K07481	transposase, IS5 family 
NHBDKAOG_02337	K03832	periplasmic protein TonB 
NHBDKAOG_02339	K09181	acetyltransferase   
NHBDKAOG_02341	K00703	starch synthase [EC:2.4.1.21] 
NHBDKAOG_02342	K00975	glucose-1-phosphate adenylyltransferase [EC:2.7.7.27] 
NHBDKAOG_02343	K01835	phosphoglucomutase [EC:5.4.2.2]  
NHBDKAOG_02344	K01810	glucose-6-phosphate isomerase [EC:5.3.1.9] 
NHBDKAOG_02346	K01356	repressor LexA [EC:3.4.21.88] 
NHBDKAOG_02355	K18235	virginiamycin B lyase [EC:4.2.99.-]
NHBDKAOG_02356	K11690	C4-dicarboxylate transporter, DctM subunit
NHBDKAOG_02357	K11689	C4-dicarboxylate transporter, DctQ subunit
